"Payment has been authorized by Ingenico ePayments, but not yet captured.","Payment has been authorized by Ingenico ePayments, but not yet captured."
"Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico ePayments before. By cancelling this order you won't be able to update the status in Magento anymore.","Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico ePayments before. By cancelling this order you won't be able to update the status in Magento anymore."
"Collapse All","Collapse All"
"Expand All","Expand All"
"This operation can take a long time","This operation can take a long time"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"Please use this method for the following brands only:","Please use this method for the following brands only:"
"Payment using 3D secure is not supported.","Payment using 3D secure is not supported."
Country,Country
"Shipping method type","Shipping method type"
"Kwixo shipping type","Kwixo shipping type"
"Shipping speed (in hours)","Shipping speed (in hours)"
"Shipping method details","Shipping method details"
"shipping type not valid","shipping type not valid"
"shipping speed not valid","shipping speed not valid"
"shipping details not valid","shipping details not valid"
"Ingenico ePayments Transaction ID","Ingenico ePayments Transaction ID"
"Ingenico ePayments payment id","Ingenico ePayments payment id"
"Payment ID: %1","Payment ID: %1"
"Status: %1","Status: %1"
"Acceptance: %1","Acceptance: %1"
"Scoring Value: %1","Scoring Value: %1"
"This might be a fraud attempt. Please check details for more information.","This might be a fraud attempt. Please check details for more information."
"No scoring information available","No scoring information available"
"Device: %1","Device: %1"
"Mobilemode: %1","Mobilemode: %1"
"Scoring Category: %1","Scoring Category: %1"
"Alias: %1","Alias: %1"
"Only offline refund is available, since Ingenico ePayments transaction is already closed.","Only offline refund is available, since Ingenico ePayments transaction is already closed."
"Last refund (Close payment transaction)","Last refund (Close payment transaction)"
"If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction.","If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction."
"Don't forget to set your shipping method to use KWIXO in the best way","Don't forget to set your shipping method to use KWIXO in the best way"
"Kwixo shipping setting","Kwixo shipping setting"
"Kwixo Category Mapping","Kwixo Category Mapping"
"Please note that a proper category mapping is necessary in order to use this payment method","Please note that a proper category mapping is necessary in order to use this payment method"
"Extension Version","Extension Version"
Documentation,Documentation
English,English
German,German
"First Aid - FAQ","First Aid - FAQ"
"Need support? Contact Ingenico ePayments:","Need support? Contact Ingenico ePayments:"
devprefix,devprefix
"Download Logfile","Download Logfile"
"You did not save any payment information, yet.","You did not save any payment information, yet."
Back,Back
"Payment failed. Please select another payment method.","Payment failed. Please select another payment method."
"Payment failed. Please review your input or select another payment method.","Payment failed. Please review your input or select another payment method."
"This is a required field.","This is a required field."
"Credit Card","Credit Card"
"expires: %1","expires: %1"
"Name on Card","Name on Card"
"Credit Card Number","Credit Card Number"
"Credit Card Type:","Credit Card Type:"
"Card Verification Number","Card Verification Number"
"Enter new credit card data...","Enter new credit card data..."
"You will be redirected to Ingenico ePayments website when you place an order.","You will be redirected to Ingenico ePayments website when you place an order."
"Account number must contain numbers only.","Account number must contain numbers only."
"Bank code must contain numbers only.","Bank code must contain numbers only."
"Account holder","Account holder"
IBAN,IBAN
BIC,BIC
"Account number","Account number"
"Bank code","Bank code"
country,country
"Please select one of the options.","Please select one of the options."
kwixo_apres_reception_description,kwixo_apres_reception_description
kwixo_payement_en_1_fois_description,kwixo_payement_en_1_fois_description
paiement_en_plusiers_fois_description,paiement_en_plusiers_fois_description
"By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments side.","By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments side."
"Your details","Your details"
