"DOLCE GABBANA","DOLCE GABBANA",module,Ibapi_Multiv
"DOLCE & GABBANA","DOLCE & GABBANA",module,Ibapi_Multiv
"EBENE BY P. ASSULINE","EBENE BY P. ASSULINE",module,Ibapi_Multiv
"ELIE TAHARI","ELIE TAHARI",module,Ibapi_Multiv
"ELISABETA FRANCHI","ELISABETA FRANCHI",module,Ibapi_Multiv
"ELISABETTA FRANCHI","ELISABETTA FRANCHI",module,Ibapi_Multiv
"EMPORIO ARMANI","EMPORIO ARMANI",module,Ibapi_Multiv
GANNI,GANNI,module,Ibapi_Multiv
GENTRYPORTOFINO,GENTRYPORTOFINO,module,Ibapi_Multiv
GUCCI,GUCCI,module,Ibapi_Multiv
"HALSTON HERIATGE","HALSTON HERIATGE",module,Ibapi_Multiv
"HALSTON HERITAGE","HALSTON HERITAGE",module,Ibapi_Multiv
"HELMUT LANG","HELMUT LANG",module,Ibapi_Multiv
"HERVE LEGER","HERVE LEGER",module,Ibapi_Multiv
"HÔTEL PARTICULIER","HÔTEL PARTICULIER",module,Ibapi_Multiv
IKKS,IKKS,module,Ibapi_Multiv
IRO,IRO,module,Ibapi_Multiv
"JIMMY CHOO","JIMMY CHOO",module,Ibapi_Multiv
JOSEPH,JOSEPH,module,Ibapi_Multiv
"KARL LAGERFELD PARIS","KARL LAGERFELD PARIS",module,Ibapi_Multiv
KENZO,KENZO,module,Ibapi_Multiv
LANCEL,LANCEL,module,Ibapi_Multiv
"LAUNDRY BY SHELLI SEGAL","LAUNDRY BY SHELLI SEGAL",module,Ibapi_Multiv
LEETHA,LEETHA,module,Ibapi_Multiv
"LOUIS VUITTON","LOUIS VUITTON",module,Ibapi_Multiv
"LOVE MOSCHINO","LOVE MOSCHINO",module,Ibapi_Multiv
"MAISON MARCIELA","MAISON MARCIELA",module,Ibapi_Multiv
"MAISON MARGIELA","MAISON MARGIELA",module,Ibapi_Multiv
MAJE,MAJE,module,Ibapi_Multiv
"MARC JACOB","MARC JACOB",module,Ibapi_Multiv
"MARC JACOBS","MARC JACOBS",module,Ibapi_Multiv
MARCIANO,MARCIANO,module,Ibapi_Multiv
"MARIA LUCIA HOHAN","MARIA LUCIA HOHAN",module,Ibapi_Multiv
"MONIQUE LHUILLIER","MONIQUE LHUILLIER",module,Ibapi_Multiv
"MOSCHINO COUTURE","MOSCHINO COUTURE",module,Ibapi_Multiv
"NINA RICCI","NINA RICCI",module,Ibapi_Multiv
"NORA BARTH","NORA BARTH",module,Ibapi_Multiv
"ROBERTO CAVALLI","ROBERTO CAVALLI",module,Ibapi_Multiv
RODO,RODO,module,Ibapi_Multiv
SANDRO,SANDRO,module,Ibapi_Multiv
SCAPA,SCAPA,module,Ibapi_Multiv
"SELF PORTRAIT","SELF PORTRAIT",module,Ibapi_Multiv
SOANI,SOANI,module,Ibapi_Multiv
