"Failed to update Add-On.","Failed to update Add-On."
Redirecting...,Redirecting...
"Invalid ID","Invalid ID"
"Navigation could not be deleted","Navigation could not be deleted"
"Can't modify a default preset of default navigations","Can't modify a default preset of default navigations"
"Preset handle already exists, please choose a different name","Preset handle already exists, please choose a different name"
"Navigation not found, could not add preset","Navigation not found, could not add preset"
"Can't delete default preset of default navigations","Can't delete default preset of default navigations"
"Preset not found in default navigations","Preset not found in default navigations"
"Navigation not found, could not delete preset","Navigation not found, could not delete preset"
"Plugin not activated","Plugin not activated"
"No data received","No data received"
"Error downloading object","Error downloading object"
"Add Object Layer","Add Object Layer"
"Search for Objects...","Search for Objects..."
ALL,ALL
"ALL IMAGES","ALL IMAGES"
SVG,SVG
ICON,ICON
PNG,PNG
JPG,JPG
"License Info","License Info"
"Update Object Library","Update Object Library"
Favorite,Favorite
"All Icons","All Icons"
"All PNG","All PNG"
"All JPG","All JPG"
"All SVG","All SVG"
"As Layer","As Layer"
"As Slide BG","As Slide BG"
"## Custom Animation ##","## Custom Animation ##"
"- SPECIAL EFFECTS -","- SPECIAL EFFECTS -"
"- VERSION 5.0 ANIMATIONS -","- VERSION 5.0 ANIMATIONS -"
"- VERSION 4.0 ANIMATIONS -","- VERSION 4.0 ANIMATIONS -"
"- SAVED CUSTOM ANIMATIONS -","- SAVED CUSTOM ANIMATIONS -"
"Automatic Reverse","Automatic Reverse"
"Loaded Google Fonts","Loaded Google Fonts"
"Serif Fonts","Serif Fonts"
"Sans-Serif Fonts","Sans-Serif Fonts"
"Monospace Fonts","Monospace Fonts"
"Google Fonts","Google Fonts"
"No write permissions. Can't create zip file: ","No write permissions. Can't create zip file: "
"Wrong request!","Wrong request!"
"Using this data is only allowed with a valid licence of the jQuery Slider Revolution Plugin, which can be found at CodeCanyon: http://codecanyon.net/item/slider-revolution-responsive-jquery-plugin/2580848?ref=themepunch","Using this data is only allowed with a valid licence of the jQuery Slider Revolution Plugin, which can be found at CodeCanyon: http://codecanyon.net/item/slider-revolution-responsive-jquery-plugin/2580848?ref=themepunch"
"Loading Preview...","Loading Preview..."
"Overall Slider Performance","Overall Slider Performance"
Slow,Slow
Ok,Ok
Fast,Fast
"Load Speed UMTS:","Load Speed UMTS:"
"Load Speed DSL:","Load Speed DSL:"
"Load Speed T1:","Load Speed T1:"
"Total Slider Size:","Total Slider Size:"
"Preloaded Slides Size:","Preloaded Slides Size:"
"Need Some Attention","Need Some Attention"
"Image Performance","Image Performance"
"Images Loaded:","Images Loaded:"
"Hide Details","Hide Details"
"Show Details","Show Details"
extern,extern
missing,missing
"Video Performance","Video Performance"
"Videos Loaded (max):","Videos Loaded (max):"
Unknown,Unknown
"CSS Performance","CSS Performance"
"CSS Loaded:","CSS Loaded:"
"Dynamic Styles","Dynamic Styles"
"jQuery Performance","jQuery Performance"
"jQuery Loaded:","jQuery Loaded:"
"Google Fonts Performance","Google Fonts Performance"
"Fonts Loaded:","Fonts Loaded:"
"Revolution Slider Page","Revolution Slider Page"
"No slides found, please add at least one Slide Template to the choosen language.","No slides found, please add at least one Slide Template to the choosen language."
